attacked_rows,calibration_peak_state_bytes,elapsed_seconds,incremental_rss_bytes,k,method,n,output_bytes,p,peak_rss_bytes,rank,scenario,seed,state_bytes,status,subspace_error,throughput_rows_per_second,tier
68067,0,1520.160177249,130912256,50,sketch_mad,68579,1600000,10000,373338112,20,cellwise,501,14000024,completed,0.9828754734723919,45.11300915940706,pbmc
68067,0,802.215312837,42110976,50,vanilla_fd,68579,1600000,10000,307920896,20,cellwise,501,8080000,completed,0.9924829835457477,85.48702437189002,pbmc
0,270532992,1011.059481618,55144448,50,dual_bound,68579,1600000,10000,1076887552,20,clean,501,12240000,completed,0.9847881591774991,67.82884810125407,pbmc
0,0,855.731284722,35332096,50,rfd,68579,1600000,10000,303509504,20,clean,501,8240008,completed,0.9246560855307053,80.1408119866497,pbmc
0,0,1500.565844732,130871296,50,sketch_mad,68579,1600000,10000,368275456,20,clean,501,14000024,completed,0.9813503016778895,45.70209314090323,pbmc
0,0,912.871206193,41979904,50,vanilla_fd,68579,1600000,10000,303353856,20,clean,501,8080000,completed,0.9712348947915067,75.12450774518237,pbmc
6807,270532992,1084.694038875,55099392,50,dual_bound,68579,1600000,10000,1077231616,20,in_subspace,501,12240000,completed,0.9773485834042895,63.22428034280277,pbmc
6807,0,832.033818897,35459072,50,rfd,68579,1600000,10000,303804416,20,in_subspace,501,8240008,completed,0.9241304538519899,82.42333237237033,pbmc
6807,0,1499.630383181,130891776,50,sketch_mad,68579,1600000,10000,369442816,20,in_subspace,501,14000024,completed,0.9833316847215342,45.730601866395205,pbmc
6807,0,892.618529725,41934848,50,vanilla_fd,68579,1600000,10000,304058368,20,in_subspace,501,8080000,completed,0.9707449339987112,76.82901230061623,pbmc
6807,270532992,560.44129179,27611136,50,dual_bound,68579,1600000,10000,1960370176,20,bounded_out_of_subspace,502,12240000,completed,0.9698167119527811,122.36607295826602,pbmc
6807,0,1411.170797205,33480704,50,rfd,68579,1600000,10000,1867517952,20,bounded_out_of_subspace,502,8240008,completed,0.9240767490716402,48.59723581003041,pbmc
6807,0,512.931308905,130916352,50,sketch_mad,68579,1600000,10000,371281920,20,bounded_out_of_subspace,502,14000024,completed,0.9830861456341622,133.70016376345143,pbmc
6807,0,1607.528663477,41893888,50,vanilla_fd,68579,1600000,10000,304476160,20,bounded_out_of_subspace,502,8080000,completed,0.9706878635178439,42.66113666158041,pbmc
6807,270532992,1202.765690954,54919168,50,dual_bound,68579,1600000,10000,1077747712,20,casewise,502,12240000,completed,0.9780181811138722,57.0177554246705,pbmc
6807,0,979.842555382,35241984,50,rfd,68579,1600000,10000,304275456,20,casewise,502,8240008,completed,0.9937494005329595,69.98981583654925,pbmc
6807,0,1569.777448235,130813952,50,sketch_mad,68579,1600000,10000,369860608,20,casewise,502,14000024,completed,0.9843186367328206,43.68708448264925,pbmc
6807,0,1041.910658284,41848832,50,vanilla_fd,68579,1600000,10000,304365568,20,casewise,502,8080000,completed,0.998950076351596,65.82042275385477,pbmc
68067,270532992,1188.449609165,55222272,50,dual_bound,68579,1600000,10000,1081700352,20,cellwise,502,12240000,completed,0.992200581941417,57.70459216035531,pbmc
68067,0,1003.972578906,35516416,50,rfd,68579,1600000,10000,307900416,20,cellwise,502,8240008,completed,0.9983689967760911,68.30764250028479,pbmc
68067,0,1596.174741928,130809856,50,sketch_mad,68579,1600000,10000,373321728,20,cellwise,502,14000024,completed,0.9824916918311966,42.96459416289488,pbmc
68067,0,998.281011044,42176512,50,vanilla_fd,68579,1600000,10000,307716096,20,cellwise,502,8080000,completed,0.9910465161815087,68.69708953822555,pbmc
0,270532992,1140.227828329,55017472,50,dual_bound,68579,1600000,10000,1076752384,20,clean,502,12240000,completed,0.9847881591774991,60.144997601490125,pbmc
0,0,970.131290534,35323904,50,rfd,68579,1600000,10000,303534080,20,clean,502,8240008,completed,0.9246591712466312,70.6904319746777,pbmc
0,0,1563.754070831,130850816,50,sketch_mad,68579,1600000,10000,369254400,20,clean,502,14000024,completed,0.9813503016778895,43.855361453068,pbmc
0,0,952.363302897,42041344,50,vanilla_fd,68579,1600000,10000,303521792,20,clean,502,8080000,completed,0.9712348947915067,72.00928447304626,pbmc
6807,270532992,1072.345989248,55091200,50,dual_bound,68579,1600000,10000,1077391360,20,in_subspace,502,12240000,completed,0.977315279747376,63.952307079632135,pbmc
6807,0,925.776006613,35532800,50,rfd,68579,1600000,10000,303927296,20,in_subspace,502,8240008,completed,0.9240767905935633,74.07731406963102,pbmc
6807,0,1791.097895474,130859008,50,sketch_mad,68579,1600000,10000,369319936,20,in_subspace,502,14000024,completed,0.9831271831683591,38.288806085527284,pbmc
6807,0,999.661376794,41992192,50,vanilla_fd,68579,1600000,10000,303583232,20,in_subspace,502,8080000,completed,0.9706878636834971,68.60223030716536,pbmc
6807,270532992,531.574703783,27611136,50,dual_bound,68579,1600000,10000,1959985152,20,bounded_out_of_subspace,503,12240000,completed,0.9705902628789609,129.01102989279073,pbmc
6807,0,1392.88657059,33611776,50,rfd,68579,1600000,10000,1866883072,20,bounded_out_of_subspace,503,8240008,completed,0.9241048546167094,49.23516490718354,pbmc
6807,0,522.25449316,130600960,50,sketch_mad,68579,1600000,10000,370827264,20,bounded_out_of_subspace,503,14000024,completed,0.9834542522263191,131.31337479750482,pbmc
6807,0,1637.764772237,41824256,50,vanilla_fd,68579,1600000,10000,304300032,20,bounded_out_of_subspace,503,8080000,completed,0.9706615804155682,41.873534687358614,pbmc
6807,270532992,1454.597112612,54935552,50,dual_bound,68579,1600000,10000,1077952512,20,casewise,503,12240000,completed,0.9777713683955028,47.14638809976299,pbmc
6807,0,883.12364654,35311616,50,rfd,68579,1600000,10000,304267264,20,casewise,503,8240008,completed,0.9947954738831902,77.65503762546324,pbmc
6807,0,1977.423841072,130830336,50,sketch_mad,68579,1600000,10000,370454528,20,casewise,503,14000024,completed,0.9839533422065758,34.68098167706018,pbmc
6807,0,890.835425381,41926656,50,vanilla_fd,68579,1600000,10000,304476160,20,casewise,503,8080000,completed,0.9990042233959048,76.98279395508946,pbmc
68067,270532992,1809.470863552,55128064,50,dual_bound,68579,1600000,10000,1081249792,20,cellwise,503,12240000,completed,0.9919636067519513,37.90002999295556,pbmc
